Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
2135,Ин-Тайм,"ул. Садовая, 8а",,Дергачи,,Харьковская область,UA,00000, (67) 619-22-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:16:00",,"Дергачи (склад № 1)",0 (800) 30-09-11,,,
2136,Ин-Тайм,"прт Советской Армии, 6",,Валки,,Харьковская область,UA,00000, (67) 619-23-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Валки (склад № 1)",0 (800) 30-09-11,,,
0606,Ин-Тайм,"ул. Большевицкая, 68",,Коростышев,,Житомирская область,UA,00000, (67) 617-17-31,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Коростышев  (склад № 1)",0 (800) 30-09-11,,,
0906,Ин-Тайм,"ул. Пушкина, 6/1",,Калуш,,Ивано-Франковская область,UA,00000, (67) 617-10-50,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Калуш  (склад № 1)",0 (800) 30-09-11,,,
1112,Ин-Тайм,"прт Правды, 64",,Киев,,Киев,UA,00000, (67) 614-14-18,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Виноградарь (склад № 12 до 30кг)",0 (800) 30-09-11,,,
0407,Ин-Тайм,"ул. Рабочая, 81, офис 43",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 617-72-44,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Рабочая (склад № 7 до 30кг)",0 (800) 30-09-11,,,
1614,Ин-Тайм,"пр. Ленина, 108",,Болград,,Одесская область,UA,00000, (67) 619-40-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:30:18:00,3:08:30:18:00,4:08:30:18:00,5:08:30:18:00,6:08:30:18:00,7:09:00:15:00",,"Болград  (склад № 1)",0 (800) 30-09-11,,,
1206,Ин-Тайм,"ул. Гиталова, 22а",,Новоукраинка,,Кировоградская область,UA,00000, (67) 619-44-59,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Новоукраинка (склад № 1)",0 (800) 30-09-11,,,
1203,Ин-Тайм,"ул. Дзержинского, 3",,Бобринец,,Кировоградская область,UA,00000, (67) 619-44-28,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Бобринец  (склад № 1)",0 (800) 30-09-11,,,
1126,Ин-Тайм,"прт Воссоединения, 5б",,Киев,,Киев,UA,00000, (67) 619-20-77,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Воссоединения  (склад № 26 до 30кг)",0 (800) 30-09-11,,,
1427,Ин-Тайм,"ул. Промышленная, 1",,Сходница,,Львовская область,UA,00000, (67) 610-39-85,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Сходница (склад № 1)",0 (800) 30-09-11,,,
0807,Ин-Тайм,"ул. Портовая, 2",,Запорожье,,Запорожская область,UA,00000, (61) 228-20-72,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Запорожье Портовая (склад № 7)",0 (800) 30-09-11,,,
1118,Ин-Тайм,"пл. Дружбы народов, 6",,Киев,,Киев,UA,00000, (67) 617-21-59,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Метро Оболонь (склад № 18 до 30кг)",0 (800) 30-09-11,,,
0427,Ин-Тайм,"ул. Базовая, 8",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 611-14-58,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Днепропетровск Приднепровский (склад № 10)",0 (800) 30-09-11,,,
2306,Ин-Тайм,"ул. Я.Мудрого, 11",,Славута,,Хмельницкая область,UA,00000, (67) 612-20-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Славута (склад № 1)",0 (800) 30-09-11,,,
2308,Ин-Тайм,"ул. Островского, 6",,Шепетовка,,Хмельницкая область,UA,00000, (67) 612-20-84,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Шепетовка (склад № 1)",0 (800) 30-09-11,,,
